"vertex_id";"station_name";"x";"y"
1;"试试中文";1.0;2.0
2;"龙漕路";121.443;31.1703
3;"龙漕路";121.443;31.1703
4;"岚皋路";121.422;31.2562
5;"迪士尼";121.668;31.1414
6;"国权路";121.51;31.2893
7;"耀华路";121.495;31.1785
8;"世博会博物馆";121.482;31.1976
9;"刘行";121.362;31.3576
10;"长寿路";121.438;31.2409
11;"威宁路";121.387;31.2149
12;"临沂新村";121.517;31.1932
13;"虹桥2号航站楼";121.326;31.1942
14;"浦三路";121.539;31.1509
15;"云锦路";121.459;31.1665
16;"祁华路";121.374;31.3223
17;"世博大道";121.484;31.1828
18;"世纪大道";121.527;31.2288
19;"枫桥路";121.411;31.2418
20;"上海游泳馆";121.441;31.1791
21;"闵行开发区";121.37;31.0006
22;"华夏中路";121.583;31.1758
23;"张华浜";121.499;31.358
24;"沈杜公路";121.512;31.0614
25;"松江南站";121.231;30.9848
26;"同济大学";121.506;31.2821
27;"赤峰路";121.482;31.2812
28;"上海西站";121.401;31.2627
29;"芳华路";121.55;31.1931
30;"银都路";121.39;31.0893
31;"北桥";121.41;31.0451
32;"博兴路";121.587;31.2635
33;"徐泾东";121.299;31.1883
34;"石龙路";121.443;31.1579
35;"伊犁路";121.404;31.1989
36;"宁国路";121.532;31.2686
37;"东昌路";121.516;31.2333
38;"陆家浜路";121.486;31.2118
39;"长江南路";121.491;31.3321
40;"颛桥";121.402;31.067
41;"广兰路";121.621;31.2111
42;"虹口足球场";121.479;31.2714
43;"徐家汇";121.436;31.1938
44;"华夏西路";121.515;31.1499
45;"镇坪路";121.43;31.2464
46;"高青路";121.516;31.1599
47;"上海南站";121.43;31.1546
48;"武威路";121.365;31.2766
49;"曲阜路";121.472;31.2423
50;"西藏南路";121.49;31.202
51;"滴水湖";121.93;30.9072
52;"醉白池";121.229;31.0011
53;"中兴路";121.469;31.2532
54;"花木路";121.563;31.2112
55;"上海大学";121.389;31.3206
56;"上大路";121.409;31.3151
57;"陕西南路";121.46;31.2172
58;"新江湾城";121.507;31.3285
59;"豫园";121.487;31.2278
60;"大华三路";121.423;31.274
61;"国际客运中心";121.498;31.2502
62;"汶水路";121.45;31.2926
63;"虹桥1号航站楼";121.347;31.1914
64;"上海体育馆";121.436;31.182
65;"华宁路";121.395;31.0075
66;"浦江镇";121.506;31.0966
67;"场中路";121.414;31.3037
68;"共富新村";121.434;31.3551
69;"打浦桥";121.469;31.2063
70;"航头东";121.617;31.0549
71;"提篮桥";121.507;31.2535
72;"隆昌路";121.545;31.2752
73;"野生动物园";121.699;31.0503
74;"金沙江西路";121.335;31.2412
75;"杨高南路";121.525;31.1876
76;"复兴岛";121.561;31.2805
77;"小南门";121.498;31.2169
78;"友谊路";121.476;31.404
79;"江浦公园";121.524;31.2646
80;"御桥";121.571;31.1581
81;"洲海路";121.589;31.3122
82;"莘庄";121.385;31.1112
83;"衡山路";121.446;31.2045
84;"桃浦新村";121.35;31.2816
85;"静安寺";121.446;31.2231
86;"常熟路";121.451;31.2134
87;"江宁路";121.445;31.2444
88;"曹杨路";121.418;31.2378
89;"龙华";121.453;31.1727
90;"塘桥";121.519;31.2098
91;"金桥路";121.582;31.2571
92;"祁连山南路";121.367;31.2376
93;"彭浦新村";121.449;31.3066
94;"东方体育中心";121.48;31.1534
95;"四川北路";121.484;31.252
96;"江月路";121.509;31.0843
97;"鞍山新村";121.51;31.2732
98;"肇嘉浜路";121.45;31.1994
99;"中山公园";121.416;31.218
100;"嘉定北";121.237;31.3915
101;"大连路";121.513;31.2579
102;"铁力路";121.461;31.4081
103;"上南路";121.506;31.149
104;"北洋泾路";121.552;31.2391
105;"杨高北路";121.603;31.2801
106;"上海体育场";121.444;31.1856
107;"李子园";121.39;31.269
108;"康新公路";121.617;31.1304
109;"五洲大道";121.589;31.3026
110;"灵岩南路";121.495;31.1487
111;"延安西路";121.417;31.2096
112;"长清路";121.486;31.1746
113;"上海马戏城";121.452;31.2799
114;"春申路";121.386;31.0982
115;"莲花路";121.403;31.131
116;"东安路";121.455;31.1908
117;"源深体育中心";121.535;31.233
118;"罗南新村";121.357;31.3888
119;"呼兰路";121.438;31.3397
120;"娄山关路";121.404;31.2112
121;"虹梅路";121.397;31.1604
122;"新村路";121.423;31.264
123;"新天地";121.475;31.2158
124;"松江体育中心";121.23;31.016
125;"南浦大桥";121.5;31.2085
126;"嘉定新城";121.254;31.3301
127;"宝杨路";121.48;31.3953
128;"人民广场";121.476;31.2328
129;"民生路";121.544;31.2359
130;"申江路";121.627;31.2802
131;"商城路";121.516;31.2303
132;"真如";121.407;31.2508
133;"中春路";121.338;31.1494
134;"上海动物园";121.368;31.1902
135;"浦东大道";121.519;31.24
136;"殷高西路";121.485;31.32
137;"成山路";121.496;31.1707
138;"自然博物馆";121.462;31.2365
139;"水产路";121.488;31.3813
140;"上海科技馆";121.544;31.2188
141;"富锦路";121.425;31.3923
142;"虹莘路";121.38;31.1374
143;"金科路";121.602;31.2042
144;"淮海中路";121.465;31.2203
145;"云山路";121.573;31.2504
146;"马当路";121.476;31.21
147;"鹤沙航城";121.611;31.0778
148;"龙耀路";121.46;31.1597
149;"天潼路";121.482;31.2438
150;"大世界";121.479;31.2272
151;"联航路";121.511;31.0736
152;"泗泾";121.26;31.1183
153;"德平路";121.564;31.2454
154;"黄陂南路";121.473;31.2227
155;"顾村公园";121.373;31.3448
156;"江湾体育场";121.514;31.3029
157;"金海路";121.639;31.2633
158;"顾戴路";121.392;31.1409
